n,fill,fill_accesses,fill_bytes,read,read_accesses,read_bytes,rar,rar_accesses,rar_bytes
2520,52.4579,17612668,3804336288,0.0137411,4608,995328,0.0137438,4608,995328
2528,52.6774,17686396,3820261536,0.0137336,4608,995328,0.0136977,4608,995328
2536,52.897,17760124,3836186784,0.0137302,4608,995328,0.0136969,4608,995328
2544,53.1166,17833852,3852112032,0.0137271,4608,995328,0.0137089,4608,995328
2552,53.3359,17907580,3868037280,0.0137303,4608,995328,0.0137275,4608,995328
2560,53.5556,17981308,3883962528,0.0137413,4608,995328,0.0137149,4608,995328
2568,53.7754,18055036,3899887776,0.0137608,4608,995328,0.0137275,4608,995328
2576,53.995,18128764,3915813024,0.0137592,4608,995328,0.0137494,4608,995328
2584,54.2148,18202492,3931738272,0.01376,4608,995328,0.0137124,4608,995328
2592,54.4343,18276220,3947663520,0.0137612,4608,995328,0.0137361,4608,995328
2600,54.6539,18349948,3963588768,0.0137752,4608,995328,0.0137359,4608,995328
2608,54.8737,18423676,3979514016,0.0137578,4608,995328,0.0137276,4608,995328
2616,55.0932,18497404,3995439264,0.0137368,4608,995328,0.0137292,4608,995328
2624,55.3131,18571132,4011364512,0.0137525,4608,995328,0.0137291,4608,995328
2632,55.5328,18644860,4027289760,0.013769,4608,995328,0.0137281,4608,995328
2640,55.7524,18718588,4043215008,0.0137294,4608,995328,0.0137214,4608,995328
2648,55.9719,18792316,4059140256,0.0137455,4608,995328,0.0137269,4608,995328
2656,56.1912,18866044,4075065504,0.0137497,4608,995328,0.0137186,4608,995328
2664,56.4105,18939772,4090990752,0.013732,4608,995328,0.0137009,4608,995328
2672,56.6301,19013500,4106916000,0.0137388,4608,995328,0.013704,4608,995328
2680,56.8499,19087228,4122841248,0.0137224,4608,995328,0.0137037,4608,995328
2688,57.069,19160956,4138766496,0.013707,4608,995328,0.0136882,4608,995328
2696,57.2884,19234684,4154691744,0.0137161,4608,995328,0.013683,4608,995328
2704,57.5075,19308412,4170616992,0.0137056,4608,995328,0.0136872,4608,995328
2712,57.7267,19382140,4186542240,0.013759,4608,995328,0.0137204,4608,995328
2720,57.946,19455868,4202467488,0.0137183,4608,995328,0.0136869,4608,995328
2728,58.1653,19529596,4218392736,0.0137122,4608,995328,0.0136972,4608,995328
2736,58.3846,19603324,4234317984,0.0137364,4608,995328,0.0137152,4608,995328
2744,58.6041,19677052,4250243232,0.0137098,4608,995328,0.0136666,4608,995328
2752,58.8233,19750780,4266168480,0.0137218,4608,995328,0.0136961,4608,995328
