n,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
2800,0.196438,140638,21376976,3.32169e-05,24,3648
2808,0.196707,140830,21406160,3.22364e-05,24,3648
2816,0.196973,141022,21435344,3.21714e-05,24,3648
2824,0.197241,141214,21464528,3.2189e-05,24,3648
2832,0.19751,141406,21493712,3.22656e-05,24,3648
2840,0.197778,141598,21522896,3.23269e-05,24,3648
2848,0.198045,141790,21552080,3.23412e-05,24,3648
2856,0.198312,141982,21581264,3.31251e-05,24,3648
2864,0.19858,142174,21610448,3.22947e-05,24,3648
2872,0.198859,142366,21639632,3.22343e-05,24,3648
2880,0.199127,142558,21668816,3.22659e-05,24,3648
2888,0.199395,142750,21698000,3.20817e-05,24,3648
2896,0.199664,142942,21727184,3.21313e-05,24,3648
2904,0.199933,143134,21756368,3.33262e-05,24,3648
2912,0.200201,143326,21785552,3.22571e-05,24,3648
2920,0.200469,143518,21814736,3.21847e-05,24,3648
2928,0.200737,143710,21843920,3.22193e-05,24,3648
2936,0.201004,143902,21873104,3.21419e-05,24,3648
2944,0.201282,144094,21902288,3.21933e-05,24,3648
2952,0.20155,144286,21931472,3.21752e-05,24,3648
2960,0.201817,144478,21960656,3.21813e-05,24,3648
2968,0.202086,144670,21989840,3.21733e-05,24,3648
2976,0.20235,144862,22019024,3.22349e-05,24,3648
2984,0.202618,145054,22048208,3.21656e-05,24,3648
2992,0.202886,145246,22077392,3.21961e-05,24,3648
3000,0.203154,145438,22106576,3.21748e-05,24,3648
3008,0.203438,145630,22135760,3.23227e-05,24,3648
3016,0.203706,145822,22164944,3.21823e-05,24,3648
3024,0.203974,146014,22194128,3.22942e-05,24,3648
3032,0.204242,146206,22223312,3.21113e-05,24,3648
3040,0.20451,146398,22252496,3.35095e-05,24,3648
3048,0.204779,146590,22281680,3.22044e-05,24,3648
3056,0.205047,146782,22310864,3.22846e-05,24,3648
3064,0.205315,146974,22340048,3.21417e-05,24,3648
3072,0.205584,147166,22369232,3.22215e-05,24,3648
3080,0.205852,147358,22398416,3.21971e-05,24,3648
3088,0.206122,147550,22427600,3.21644e-05,24,3648
3096,0.20639,147742,22456784,3.21168e-05,24,3648
3104,0.206658,147934,22485968,3.2281e-05,24,3648
3112,0.206938,148126,22515152,3.31238e-05,24,3648
3120,0.207206,148318,22544336,3.22182e-05,24,3648
3128,0.207474,148510,22573520,3.2136e-05,24,3648
3136,0.207742,148702,22602704,3.21178e-05,24,3648
3144,0.20801,148894,22631888,3.32507e-05,24,3648
3152,0.208278,149086,22661072,3.23458e-05,24,3648
3160,0.208547,149278,22690256,3.22599e-05,24,3648
3168,0.208815,149470,22719440,3.23212e-05,24,3648
3176,0.209083,149662,22748624,3.21737e-05,24,3648
3184,0.209352,149854,22777808,3.22227e-05,24,3648
3192,0.209621,150046,22806992,3.2266e-05,24,3648
3200,0.209891,150238,22836176,3.36972e-05,24,3648
3208,0.210159,150430,22865360,3.21353e-05,24,3648
3216,0.210437,150622,22894544,3.2327e-05,24,3648
3224,0.210706,150814,22923728,3.21842e-05,24,3648
3232,0.210973,151006,22952912,3.21305e-05,24,3648
3240,0.211242,151198,22982096,3.22173e-05,24,3648
3248,0.21151,151390,23011280,3.32243e-05,24,3648
3256,0.211778,151582,23040464,3.22863e-05,24,3648
3264,0.212047,151774,23069648,3.22601e-05,24,3648
3272,0.212316,151966,23098832,3.22112e-05,24,3648
3280,0.212583,152158,23128016,3.31173e-05,24,3648
3288,0.212861,152350,23157200,3.21551e-05,24,3648
3296,0.213129,152542,23186384,3.21164e-05,24,3648
3304,0.213398,152734,23215568,3.22899e-05,24,3648
3312,0.213667,152926,23244752,3.23318e-05,24,3648
3320,0.213935,153118,23273936,3.22297e-05,24,3648
3328,0.214204,153310,23303120,3.22295e-05,24,3648
3336,0.214473,153502,23332304,3.228e-05,24,3648
3344,0.214741,153694,23361488,3.23272e-05,24,3648
3352,0.215019,153886,23390672,3.21912e-05,24,3648
3360,0.215288,154078,23419856,3.23058e-05,24,3648
3368,0.215556,154270,23449040,3.22816e-05,24,3648
3376,0.215824,154462,23478224,3.2177e-05,24,3648
3384,0.216093,154654,23507408,3.33452e-05,24,3648
3392,0.216363,154846,23536592,3.2248e-05,24,3648
3400,0.216631,155038,23565776,3.23028e-05,24,3648
3408,0.216898,155230,23594960,3.21876e-05,24,3648
3416,0.217167,155422,23624144,3.22033e-05,24,3648
3424,0.217435,155614,23653328,3.22166e-05,24,3648
3432,0.217704,155806,23682512,3.23078e-05,24,3648
3440,0.217974,155998,23711696,3.2229e-05,24,3648
3448,0.218243,156190,23740880,3.23428e-05,24,3648
3456,0.218522,156382,23770064,3.31391e-05,24,3648
3464,0.218791,156574,23799248,3.22486e-05,24,3648
3472,0.21906,156766,23828432,3.21052e-05,24,3648
3480,0.219329,156958,23857616,3.21109e-05,24,3648
3488,0.219598,157150,23886800,3.3424e-05,24,3648
3496,0.219866,157342,23915984,3.23056e-05,24,3648
3504,0.220135,157534,23945168,3.23066e-05,24,3648
3512,0.220404,157726,23974352,3.22099e-05,24,3648
3520,0.220673,157918,24003536,3.35202e-05,24,3648
3528,0.220942,158110,24032720,3.2275e-05,24,3648
3536,0.221211,158302,24061904,3.21967e-05,24,3648
3544,0.221487,158494,24091088,3.21816e-05,24,3648
3552,0.221757,158686,24120272,3.22248e-05,24,3648
3560,0.222026,158878,24149456,3.21037e-05,24,3648
3568,0.222295,159070,24178640,3.21198e-05,24,3648
3576,0.222564,159262,24207824,3.2228e-05,24,3648
3584,0.222833,159454,24237008,3.2378e-05,24,3648
3592,0.223121,159646,24266192,3.28673e-05,24,3648
3600,0.22339,159838,24295376,3.21597e-05,24,3648
3608,0.223659,160030,24324560,3.21289e-05,24,3648
3616,0.223927,160222,24353744,3.21475e-05,24,3648
3624,0.224194,160414,24382928,3.31227e-05,24,3648
3632,0.224462,160606,24412112,3.22143e-05,24,3648
3640,0.22473,160798,24441296,3.21921e-05,24,3648
3648,0.224999,160990,24470480,3.21615e-05,24,3648
3656,0.225268,161182,24499664,3.22486e-05,24,3648
3664,0.225537,161374,24528848,3.21929e-05,24,3648
3672,0.225805,161566,24558032,3.22406e-05,24,3648
3680,0.226074,161758,24587216,3.22703e-05,24,3648
3688,0.226341,161950,24616400,3.22469e-05,24,3648
3696,0.226619,162142,24645584,3.2246e-05,24,3648
3704,0.226886,162334,24674768,3.22608e-05,24,3648
3712,0.227153,162526,24703952,3.21601e-05,24,3648
3720,0.22742,162718,24733136,3.23107e-05,24,3648
3728,0.227686,162910,24762320,3.33786e-05,24,3648
3736,0.227954,163102,24791504,3.22349e-05,24,3648
3744,0.228222,163294,24820688,3.23571e-05,24,3648
3752,0.22849,163486,24849872,3.22496e-05,24,3648
3760,0.228757,163678,24879056,3.22726e-05,24,3648
3768,0.229025,163870,24908240,3.22286e-05,24,3648
3776,0.229292,164062,24937424,3.22473e-05,24,3648
3784,0.22956,164254,24966608,3.22606e-05,24,3648
3792,0.229827,164446,24995792,3.22677e-05,24,3648
3800,0.230094,164638,25024976,3.35645e-05,24,3648
3808,0.230361,164830,25054160,3.21725e-05,24,3648
3816,0.230629,165022,25083344,3.22418e-05,24,3648
3824,0.230897,165214,25112528,3.23011e-05,24,3648
3832,0.231164,165406,25141712,3.32101e-05,24,3648
3840,0.231431,165598,25170896,3.22936e-05,24,3648
3848,0.231698,165790,25200080,3.23523e-05,24,3648
