test,bs,n,alloc,init,init_accesses,init_bytes,insert,insert_accesses,insert_bytes,search,search_accesses,search_bytes,delete,delete_accesses,delete_bytes,disk,max_mem_level
soram,32,11,1.49475e-06,0.00413809,1,393024,3.17777e-05,2,2200,3.14393e-05,2,2200,3.20685e-05,2,2200,0,255
soram,32,12,3.6735e-06,0.00750136,1,786240,2.62758e-05,2,2400,2.6648e-05,2,2400,2.658e-05,2,2400,0,255
soram,32,13,2.694e-06,0.0115176,1,1572672,2.28368e-05,2,2600,2.33548e-05,2,2600,2.3673e-05,2,2600,0,255
soram,32,14,2.336e-06,0.0230663,1,3145536,2.4491e-05,2,2800,2.58113e-05,2,2800,2.36673e-05,2,2800,0,255
soram,32,15,3.52575e-06,0.0462948,1,6291264,2.9821e-05,2,3000,2.92198e-05,2,3000,2.62097e-05,2,3000,0,255
soram,32,16,5.86475e-06,0.0926589,1,12582720,3.2209e-05,2,3200,3.0754e-05,2,3200,2.86095e-05,2,3200,0,255
soram,32,17,6.92575e-06,0.18532,1,25165632,3.4558e-05,2,3400,3.17072e-05,2,3400,3.00153e-05,2,3400,0,255
soram,32,18,1.30412e-05,0.379846,1,50331456,3.67457e-05,2,3600,3.49863e-05,2,3600,3.16037e-05,2,3600,0,255
soram,32,19,9.81225e-06,0.758584,1,100663104,3.83627e-05,2,3800,3.62508e-05,2,3800,3.68393e-05,2,3800,0,255
soram,32,20,1.1765e-05,1.51604,1,201326400,4.10815e-05,2,4000,4.0158e-05,2,4000,3.56803e-05,2,4000,0,255
soram,152,1,6.05e-07,3.63825e-06,1,672,4.10875e-06,2,680,4.84025e-06,2,680,3.37225e-06,2,680,0,255
soram,152,2,5.945e-07,5.5415e-06,1,2016,4.826e-06,2,1360,5.8435e-06,2,1360,5.40475e-06,2,1360,0,255
soram,152,3,3.2675e-07,1.25598e-05,1,4704,6.79525e-06,2,2040,8.001e-06,2,2040,7.37125e-06,2,2040,0,255
soram,152,4,2.295e-07,2.68445e-05,1,10080,8.81725e-06,2,2720,1.09848e-05,2,2720,9.353e-06,2,2720,0,255
soram,152,5,2.495e-07,5.5273e-05,1,20832,1.08447e-05,2,3400,1.16605e-05,2,3400,1.1533e-05,2,3400,0,255
soram,152,6,3.01e-07,0.000112359,1,42336,1.54148e-05,2,4080,1.44525e-05,2,4080,1.32428e-05,2,4080,0,255
soram,152,7,2.87e-07,0.000227289,1,85344,1.50475e-05,2,4760,1.53835e-05,2,4760,1.51295e-05,2,4760,0,255
soram,152,8,3.0325e-07,0.000458474,1,171360,1.6937e-05,2,5440,1.82613e-05,2,5440,1.75807e-05,2,5440,0,255
soram,152,9,2.89e-07,0.000920194,1,343392,1.91643e-05,2,6120,2.04392e-05,2,6120,1.92605e-05,2,6120,0,255
soram,152,10,2.7225e-07,0.00183885,1,687456,2.11125e-05,2,6800,2.27417e-05,2,6800,2.18632e-05,2,6800,0,255
soram,152,11,4.615e-07,0.00368911,1,1375584,2.36345e-05,2,7480,2.39332e-05,2,7480,2.37633e-05,2,7480,0,255
soram,152,12,3.85e-07,0.0073884,1,2751840,2.59288e-05,2,8160,2.6586e-05,2,8160,2.66403e-05,2,8160,0,255
soram,152,13,4.9975e-07,0.0147961,1,5504352,2.783e-05,2,8840,2.79057e-05,2,8840,2.7925e-05,2,8840,0,255
soram,152,14,9.7225e-07,0.0298551,1,11009376,3.37613e-05,2,9520,3.1778e-05,2,9520,3.07983e-05,2,9520,0,255
soram,152,15,1.0065e-06,0.0598744,1,22019424,3.5936e-05,2,10200,3.53485e-05,2,10200,3.22147e-05,2,10200,0,255
soram,152,16,9.44875e-06,0.130896,1,44039520,3.94045e-05,2,10880,3.73257e-05,2,10880,3.55595e-05,2,10880,0,255
soram,152,17,8.62425e-06,0.261386,1,88079712,4.30115e-05,2,11560,4.01082e-05,2,11560,3.7842e-05,2,11560,0,255
soram,152,18,9.48275e-06,0.522505,1,176160096,4.49982e-05,2,12240,4.2467e-05,2,12240,3.94037e-05,2,12240,0,255
soram,152,19,1.10365e-05,1.0449,1,352320864,4.7864e-05,2,12920,4.5748e-05,2,12920,4.28545e-05,2,12920,0,255
soram,152,20,1.2128e-05,2.08828,1,704642400,5.0391e-05,2,13600,4.72178e-05,2,13600,4.6128e-05,2,13600,0,255
soram,248,1,1.43575e-06,4.5345e-06,1,1056,4.649e-06,2,1064,5.6365e-06,2,1064,3.7035e-06,2,1064,0,255
soram,248,2,2.4725e-07,6.468e-06,1,3168,5.45e-06,2,2128,6.549e-06,2,2128,6.1935e-06,2,2128,0,255
soram,248,3,2.885e-07,1.4968e-05,1,7392,7.7175e-06,2,3192,9.049e-06,2,3192,8.47525e-06,2,3192,0,255
soram,248,4,3.1625e-07,3.16513e-05,1,15840,1.00585e-05,2,4256,1.15932e-05,2,4256,1.07483e-05,2,4256,0,255
soram,248,5,2.855e-07,6.52518e-05,1,32736,1.2331e-05,2,5320,1.45563e-05,2,5320,1.3289e-05,2,5320,0,255
soram,248,6,3.2975e-07,0.000135499,1,66528,1.4705e-05,2,6384,1.5609e-05,2,6384,1.51708e-05,2,6384,0,255
soram,248,7,3.325e-07,0.000267906,1,134112,1.70725e-05,2,7448,1.86913e-05,2,7448,1.79845e-05,2,7448,0,255
soram,248,8,3.5125e-07,0.000544674,1,269280,1.96075e-05,2,8512,2.09413e-05,2,8512,2.0097e-05,2,8512,0,255
soram,248,9,3.4275e-07,0.00108824,1,539616,2.22655e-05,2,9576,2.19435e-05,2,9576,2.30195e-05,2,9576,0,255
soram,248,10,4.2425e-07,0.00217727,1,1080288,2.45225e-05,2,10640,2.55535e-05,2,10640,2.56828e-05,2,10640,0,255
soram,248,11,4.7625e-07,0.00437935,1,2161632,2.73953e-05,2,11704,2.84123e-05,2,11704,2.74335e-05,2,11704,0,255
soram,248,12,4.7875e-07,0.00874379,1,4324320,3.26652e-05,2,12768,2.91402e-05,2,12768,2.94625e-05,2,12768,0,255
soram,248,13,5.1575e-07,0.0175328,1,8649696,3.2128e-05,2,13832,3.2867e-05,2,13832,3.28812e-05,2,13832,0,255
soram,248,14,1.16075e-06,0.035463,1,17300448,3.75047e-05,2,14896,3.74652e-05,2,14896,3.50453e-05,2,14896,0,255
soram,248,15,9.6075e-06,0.0797785,1,34601952,4.25983e-05,2,15960,4.27385e-05,2,15960,4.24192e-05,2,15960,0,255
soram,248,16,8.82875e-06,0.159413,1,69204960,4.70468e-05,2,17024,4.63763e-05,2,17024,4.1641e-05,2,17024,0,255
soram,248,17,1.00882e-05,0.318741,1,138410976,4.91637e-05,2,18088,4.76885e-05,2,18088,4.8154e-05,2,18088,0,255
soram,248,18,9.5555e-06,0.636535,1,276823008,5.18445e-05,2,19152,5.1791e-05,2,19152,4.69017e-05,2,19152,0,255
soram,248,19,1.17435e-05,1.27257,1,553647072,5.44997e-05,2,20216,5.2869e-05,2,20216,5.16732e-05,2,20216,0,255
